,75,45,62,55,16,35,60,70,65,30,22,25,20
18302,,465.0,,,,,,,,,,,
18307,,54.0,,,,,,,,,,,
18419,,5431.0,,,,,,,,,,,
18522,,135.0,,,,,,,,,,,
18543,,103.0,,,,,,,,,,,
18690,,54.0,,,,,,,,,,,
18931,,135.0,,,,,,,,,,,
18942,,465.0,,,,,,,,,,,
18962,,135.0,,,,,,,,,,,
19153,,19.0,,,,,,,,,,,
19240,,54.0,,,,,,,,,,,
19501,,54.0,,,,,,,,,,,
19502,,54.0,,,,,,,,,,,
19659,,54.0,,,,,,,,,,,
19672,,54.0,,,,,,,,,,,
19737,,54.0,,,,,,,,,,,
19833,,8353.0,,,,,,,,,,,
19945,,54.0,,,,,,,,,,,
20122,,54.0,,,,,,,,,,,
20123,,135.0,,,,,,,,,,,
20217,,135.0,,,,,,,,,,,
20274,,54.0,,,,,,,,,,,
20662,,135.0,,,,,,,,,,,
20685,,135.0,,,,,,,,,,,
20714,,2893.0,,,,,,,,,,,
20746,,54.0,,,,,,,,,,,
20811,,54.0,,,,,,,,,,,
20919,,1403.0,,,,,,,,,,,
20955,,135.0,,,,,,,,,,,
21079,,54.0,,,,,,,,,,,
21176,,1342.0,,,,,,,,,,,
21420,,54.0,,,,,,,,,,,
21758,,103.0,,,,,,,,,,,
21802,,103.0,,,,,,,,,,,
21838,,135.0,,,,,,,,,,,
21850,,54.0,,,,,,,,,,,
21869,,54.0,,,,,,,,,,,
21909,,54.0,,,,,,,,,,,
21929,,2739.0,,,,,,,,,,,
21995,,465.0,,,,,,,,,,,
21996,,54.0,,,,,,,,,,,
22229,,54.0,,,,,,,,,,,
22451,,54.0,,,,,,,,,,,
22608,,54.0,,,,,,,,,,,
22655,,54.0,,,,,,,,,,,
22870,,62984.0,,,,,,,,,,,
22893,,54.0,,,,,,,,,,,
23100,,135.0,,,,,,,,,,,
23320,,103.0,,,,,,,,,,,
23435,,135.0,,,,,,,,,,,
23457,,4527.0,,,,,,,,,,,
23519,,54.0,,,,,,,,,,,
23586,,19.0,,,,,,,,,,,
23619,,10648.0,,,,,,,,,,,
23862,,135.0,,,,,,,,,,,
23870,,135.0,,,,,,,,,,,
