,35,25,65,62,30,55,45,22,60,75,70,16,20
21500,184.0,,,,,,,,,,,,
21570,375.0,,,,,,,,,,,,
21617,39923.0,,,,,,,,,,,,
21729,3716.0,,,,,,,,,,,,
21738,437.0,,,,,,,,,,,,
21804,9233.0,,,,,,,,,,,,
21959,34923.0,,,,,,,,,,,,
22141,375.0,,,,,,,,,,,,
22393,184.0,,,,,,,,,,,,
22468,9203.0,,,,,,,,,,,,
22493,1531.0,,,,,,,,,,,,
22565,375.0,,,,,,,,,,,,
22724,35613.0,,,,,,,,,,,,
22797,34923.0,,,,,,,,,,,,
22851,184.0,,,,,,,,,,,,
23033,837.0,,,,,,,,,,,,
23184,733.0,,,,,,,,,,,,
23470,733.0,,,,,,,,,,,,
23625,3355.0,,,,,,,,,,,,
23651,303.0,,,,,,,,,,,,
23771,1531.0,,,,,,,,,,,,
23802,12858.0,,,,,,,,,,,,
23878,184.0,,,,,,,,,,,,
23897,569.0,,,,,,,,,,,,
24137,9561.0,,,,,,,,,,,,
24166,17532.0,,,,,,,,,,,,
24398,25756.0,,,,,,,,,,,,
24505,184.0,,,,,,,,,,,,
24683,837.0,,,,,,,,,,,,
24809,35613.0,,,,,,,,,,,,
24868,15858.0,,,,,,,,,,,,
24912,2847.0,,,,,,,,,,,,
24913,9905.0,,,,,,,,,,,,
25039,1531.0,,,,,,,,,,,,
25164,4317.0,,,,,,,,,,,,
25209,9561.0,,,,,,,,,,,,
25236,2164.0,,,,,,,,,,,,
25565,837.0,,,,,,,,,,,,
25870,6700.0,,,,,,,,,,,,
25889,184.0,,,,,,,,,,,,
25946,837.0,,,,,,,,,,,,
26474,569.0,,,,,,,,,,,,
26503,2847.0,,,,,,,,,,,,
26526,50935.0,,,,,,,,,,,,
26677,837.0,,,,,,,,,,,,
26682,1531.0,,,,,,,,,,,,
26757,303.0,,,,,,,,,,,,
26870,303.0,,,,,,,,,,,,
26909,39385.0,,,,,,,,,,,,
26973,837.0,,,,,,,,,,,,
27002,837.0,,,,,,,,,,,,
27025,27718.0,,,,,,,,,,,,
27162,837.0,,,,,,,,,,,,
27234,837.0,,,,,,,,,,,,
27391,34185.0,,,,,,,,,,,,
27414,3312.0,,,,,,,,,,,,
27471,2847.0,,,,,,,,,,,,
27609,9561.0,,,,,,,,,,,,
27784,184.0,,,,,,,,,,,,
27810,184.0,,,,,,,,,,,,
27940,27430.0,,,,,,,,,,,,
28005,184.0,,,,,,,,,,,,
28122,837.0,,,,,,,,,,,,
28186,569.0,,,,,,,,,,,,
28322,30115.0,,,,,,,,,,,,
28511,15640.0,,,,,,,,,,,,
28708,184.0,,,,,,,,,,,,
29029,184.0,,,,,,,,,,,,
