,theta
improvement_value,0.7128315155245583
building_type_id_is_81,-0.6359869108022889
b_total_jobs,0.48627426943818525
building_type_id_is_82,-0.4528701071437504
building_type_id_is_84,-0.3327085537639657
nodes_walk_sector17_jobs,0.24383239787375446
building_type_id_is_83,-0.2386238420903236
building_type_id_is_21,-0.1557046523111773
building_type_id_is_23,-0.14307062885867813
b_ln_land_area,-0.1234469447114463
building_type_id_is_31,-0.09912326836446282
building_type_id_is_33,-0.09184441022730576
building_type_id_is_65,-0.0785773784512567
building_type_id_is_71,-0.07505198502647183
building_type_id_is_61,-0.07343966156785081
nodes_walk_sector14_jobs,-0.07096961572788421
stories,-0.06785342309379425
building_type_id_is_11,-0.06419376248088439
building_type_id_is_41,-0.06243137469170264
building_type_id_is_14,-0.06236685697853148
nodes_walk_sector16_jobs,-0.06119103383999348
building_type_id_is_52,-0.05944151480946691
b_ln_non_residential_sqft,0.05830328853127105
building_type_id_is_51,-0.05759970810894342
bldg_empratio_17,0.05707050966607501
building_type_id_is_13,-0.05102764906558449
building_type_id_is_63,-0.050940099650370455
building_type_id_is_93,-0.050149625840920975
b_ln_building_sqft,0.046715408027482794
nodes_walk_sector10_jobs,-0.046553660089134814
nodes_walk_max_office_far,0.04375221979353912
building_type_id_is_53,-0.04302897576957948
vacant_job_spaces,-0.040029419635419186
nodes_walk_sector15_jobs,0.03939952787117884
nodes_walk_residential,-0.03358081963268271
building_type_id_is_92,-0.03264554194692103
sqft_price_nonres,-0.03117403307309757
nodes_walk_population,-0.028744963252472104
zones_logsum_pop_high_income,-0.028434495999626167
b_ln_sqft_price_nonres,-0.02639839421984378
parcels_total_sqft,0.026120963389689306
nodes_walk_sector1_jobs,-0.025966088610794438
bldg_empratio_13,-0.02564994383595131
zones_logsum_job_high_income,0.024464081007983224
building_type_id_is_32,-0.02439805385700232
nodes_walk_max_medical_far,-0.02234834435491681
nodes_walk_sector13_jobs,-0.02129782212789196
nodes_walk_ave_lot_sqft,-0.020403424816033244
nodes_walk_lowinc_hhs,0.018506215027080407
