,theta
building_type_id_is_91,66.21022193521175
building_type_id_is_81,0.506340525404743
building_type_id_is_82,0.3799809184733209
b_total_jobs,0.3566450469567445
building_type_id_is_84,0.22450988737231561
building_type_id_is_83,0.132439242297375
b_ln_non_residential_sqft,0.13092824613464155
building_type_id_is_23,0.12995095742706114
nodes_walk_sector8_jobs,0.09861573547532175
bldg_empratio_8,0.09429167922541656
building_type_id_is_21,0.08657322202438
building_type_id_is_31,0.06410361125746197
b_ln_sqft_price_nonres,0.06002784876734979
zones_ln_empden_8,0.053154732372060726
stories,0.053104770414968853
nodes_walk_sector11_jobs,-0.04544974213980801
b_ln_land_area,0.044120457921922734
building_type_id_is_92,0.04126633684943529
building_type_id_is_65,0.03709391310088731
building_type_id_is_33,0.03588902241472377
nodes_walk_sector13_jobs,-0.03341570437372548
zones_logsum_pop_high_income,0.0324404844356803
nodes_walk_sector16_jobs,-0.03201110547243612
nodes_walk_sector10_jobs,0.03167748821632918
building_type_id_is_13,0.0312285135514511
zones_logsum_job_high_income,-0.02762158328989778
building_type_id_is_11,0.027561629265074893
building_type_id_is_41,0.027098531051233596
zones_empden,-0.025175247259779023
building_type_id_is_61,0.024712332954979807
nodes_walk_log_sum_nonresidential_units,0.024343503515784588
building_type_id_is_14,0.022795250845079912
nodes_drv_log_sum_20min_pop,-0.02244689397604519
nodes_walk_sector14_jobs,-0.021805418709924064
building_type_id_is_51,0.021783598418790975
b_ln_building_sqft,-0.021504459876493836
improvement_value,-0.021337090304079778
nodes_walk_ave_lot_sqft,-0.01976020914016777
parcels_land_cost,0.017909277470300654
parcels_total_sqft,0.017683148904045307
zones_ln_empden_10,-0.01623277342429736
building_type_id_is_71,0.015983894100214852
zones_logsum_pop_low_income,-0.014255937356509126
nodes_walk_retail_jobs,-0.014171433467644304
nodes_walk_sector5_jobs,-0.014171433467644304
nodes_drv_log_sum_15min_retail_jobs,0.01352020067137484
nodes_walk_sector6_jobs,-0.013074033834143416
bldg_empratio_3,-0.0127710461695732
building_type_id_is_42,0.012525567828322573
nodes_walk_sector2_jobs,-0.012389968025159256
zones_ln_empden_3,0.012157327467586895
nodes_walk_sector4_jobs,0.01135366253944533
nodes_walk_ave_nonres_sqft_price,-0.011058629683330946
bldg_empratio_9,-0.010555594551089828
building_type_id_is_63,0.010409001792081212
bldg_empratio_5,-0.01027146034273036
b_ln_parcel_sqft,-0.010065501099287562
nodes_walk_max_office_far,0.009897880136540773
zones_ln_empden_16,-0.009724377771956212
zones_transit_jobs_50min,0.009531175116965093
bldg_empratio_17,-0.009355588591203005
zones_population,-0.008938500684170137
bldg_empratio_14,-0.008836280443748751
bldg_empratio_4,-0.008695837414816497
nodes_walk_max_retail_far,-0.008622719385728152
bldg_empratio_13,-0.008170124160965457
