,theta
building_type_id_is_93,355.8458407807657
zones_logsum_job_high_income,-0.8144287780339733
zones_logsum_pop_high_income,0.8089000603186988
building_type_id_is_81,0.5430267115967089
b_ln_non_residential_sqft,0.47759602893001174
building_type_id_is_82,0.36427584895112036
building_type_id_is_84,0.25592263996726833
parcels_acres,-0.22482253487490872
bldg_empratio_13,0.19748129668528674
building_type_id_is_83,0.15058104725226432
nodes_walk_sector13_jobs,0.09782168251951388
nodes_drv_log_sum_20min_pop,-0.09693122697108145
nodes_walk_sector16_jobs,0.059482285803131245
b_total_jobs,0.053476210183451604
b_ln_building_sqft,0.04843101829350039
building_type_id_is_11,0.048115957931306116
vacant_job_spaces,-0.04627604012558988
nodes_walk_sector6_jobs,0.04542555726099742
building_type_id_is_31,-0.04365529272763137
sqft_price_nonres,0.040931003276710495
nodes_drv_log_sum_30min_jobs,0.038458100380493104
building_type_id_is_65,-0.03701931143437789
zones_households,0.03671552916348646
zones_population,-0.033512654150411936
nodes_walk_ave_lot_sqft,-0.032994427269335706
building_type_id_is_41,-0.032202374378073995
nodes_walk_log_sum_nonresidential_units,0.03006385236503755
nodes_drv_log_sum_60min_jobs,0.027412436940011005
zones_ln_empden_13,0.02343176222980623
building_type_id_is_53,-0.022680422347973017
zones_logsum_pop_low_income,-0.02211227666591719
nodes_walk_office,-0.021877420176332096
nodes_drv_log_sum_15min_retail_jobs,-0.020942946096049585
zones_transit_jobs_50min,0.02093236821896331
building_type_id_is_63,-0.020061185831237806
zones_empden,-0.019732354428599847
b_ln_sqft_price_nonres,-0.0192153023954476
nodes_walk_max_office_far,-0.019001503116900603
zones_ln_empden_14,0.01877373905401117
nodes_walk_industrial,0.01865524524731368
b_ln_parcel_sqft,0.016403600004200998
nodes_walk_retail_jobs,-0.015607896708712817
nodes_walk_sector5_jobs,-0.015607896708712817
building_type_id_is_52,-0.015605837121920492
building_type_id_is_13,0.015523455910104081
nodes_walk_sector17_jobs,0.015470036400110139
nodes_walk_population,0.01546133221227546
nodes_walk_sector2_jobs,0.014733640620605035
building_type_id_is_33,-0.013840048856751596
zones_logsum_job_low_income,-0.013745394164035946
building_type_id_is_51,-0.013584465792355586
bldg_empratio_15,-0.013518357705949773
building_type_id_is_21,-0.01287216569590326
nodes_walk_sector10_jobs,-0.012822194899045939
zones_ln_empden_4,-0.012132913231560715
nodes_walk_sector9_jobs,0.0118300368454273
nodes_walk_ave_income,-0.011464339158523167
building_type_id_is_23,0.011202694358003603
