,theta
building_type_id_is_52,33.01593800998849
building_type_id_is_81,-16.26540050519531
building_type_id_is_84,-10.159319170173521
building_type_id_is_82,-7.5405727252554735
building_type_id_is_21,-5.942721383191119
building_type_id_is_23,-4.257585262020684
building_type_id_is_33,-3.7925794938471187
building_type_id_is_31,-3.717244094596811
building_type_id_is_83,-3.691543522820167
building_type_id_is_71,-3.4130476367593623
building_type_id_is_41,-2.938278597221087
building_type_id_is_65,-2.853012325181922
building_type_id_is_61,-2.3711275727155585
building_type_id_is_51,-2.2305769773309154
building_type_id_is_13,-2.197955923105788
building_type_id_is_63,-2.1858319184363255
building_type_id_is_14,-1.9346051041272974
building_type_id_is_11,-1.754718206768527
building_type_id_is_42,-0.7532195041424666
building_type_id_is_53,-0.6993334161481275
zones_logsum_job_high_income,-0.6123388230085995
zones_logsum_pop_high_income,0.6091598675719969
building_type_id_is_94,-0.5307905568224444
b_total_jobs,0.4600852945105345
building_type_id_is_92,-0.4161594134322501
building_type_id_is_32,-0.3616648794718717
building_type_id_is_93,-0.25327382447781344
nodes_walk_sector12_jobs,0.1466361131810679
nodes_walk_sector16_jobs,-0.09779650042554636
bldg_empratio_12,0.056621904811939974
b_ln_non_residential_sqft,-0.05163983722985191
zones_logsum_job_low_income,0.04164596089324137
zones_ln_empden_12,0.036717530688515805
vacant_job_spaces,-0.032063096115651474
sqft_price_nonres,-0.02822614984714176
improvement_value,0.025660530657558033
zones_logsum_pop_low_income,-0.02396962827283379
nodes_walk_sector14_jobs,-0.021718617861862393
nodes_walk_sector9_jobs,-0.021405823214654188
b_ln_sqft_price_nonres,0.020374657398406496
bldg_empratio_9,-0.020074296245750148
bldg_empratio_18,-0.01861091467917711
bldg_empratio_3,-0.01834146497763996
bldg_empratio_2,-0.01786260200908211
bldg_empratio_5,-0.017388011740375783
nodes_walk_sector10_jobs,0.0159725375135496
parcels_total_sqft,-0.015352616563853727
bldg_empratio_14,-0.014663753965557032
bldg_empratio_13,-0.013740063289805775
zones_transit_jobs_50min,-0.013354276984980276
nodes_walk_max_office_far,-0.013351756099627446
nodes_walk_population,0.013299784078921378
parcels_land_cost,0.012623001001209314
