,theta
nodes_walk_retail_jobs,5.567217189018037
nodes_walk_sector5_jobs,5.567217189018037
b_total_jobs,2.211813691395805
b_ln_non_residential_sqft,-0.6139948308078416
zones_logsum_job_high_income,0.5222092743249452
zones_logsum_pop_high_income,-0.45675508359017164
building_type_id_is_21,0.3207776340854109
nodes_walk_sector3_jobs,-0.3031281978659316
zones_empden,0.28597930262846344
nodes_walk_sector10_jobs,-0.2827361190719116
nodes_walk_sector9_jobs,-0.25784809124546837
nodes_walk_sector16_jobs,-0.2259151497356914
building_type_id_is_52,-0.2181330828831239
nodes_walk_sector4_jobs,-0.21174783918635107
improvement_value,0.19932246304587245
building_type_id_is_82,-0.1708794435646791
vacant_job_spaces,0.16726328382257077
building_type_id_is_71,0.1626948584229462
parcels_land_cost,0.1544503355454751
zones_ln_empden_17,-0.14392517101724764
nodes_walk_sector17_jobs,-0.14340111412888865
building_type_id_is_81,-0.1338878485980113
building_type_id_is_33,0.1308082150977303
nodes_walk_sector14_jobs,-0.128433475280884
nodes_walk_retail,-0.12583917549069598
zones_ln_empden_9,-0.11978345734785922
building_type_id_is_11,-0.10987153693522629
bldg_empratio_5,-0.10883380930371987
building_type_id_is_31,0.10544674848418663
building_type_id_is_63,0.1036019319044777
building_type_id_is_65,0.09618900094446715
nodes_walk_sector2_jobs,-0.09466901776698819
building_type_id_is_41,0.09264627932322658
b_ln_sqft_price_nonres,-0.0902814020011523
building_type_id_is_61,0.09001614963450678
nodes_walk_sector15_jobs,0.08632402391281914
bldg_empratio_18,-0.08494064430278006
building_type_id_is_13,0.08431131123691393
building_type_id_is_14,0.08103403670783563
nodes_walk_lowinc_hhs,-0.08054654735399626
nodes_walk_sector11_jobs,0.07878970279025281
bldg_empratio_15,-0.07659128291979583
nodes_walk_ave_lot_sqft,-0.07181425771854734
nodes_walk_sector12_jobs,-0.07172409737287481
zones_logsum_pop_low_income,-0.07105340795126225
b_ln_land_area,-0.07008073193123388
nodes_walk_log_sum_nonresidential_units,-0.06897788963770968
zones_ln_empden_11,-0.06727796666172174
building_type_id_is_53,-0.0657555337655732
nodes_walk_ave_nonres_sqft_price,-0.0644712064108104
nodes_walk_medical,0.06335976049491567
zones_population,0.062024680709655555
building_type_id_is_23,0.060569501247011125
nodes_walk_population,-0.05837974468987026
nodes_walk_sector18_jobs,-0.057064687352290706
zones_ln_empden_10,-0.05614118876070504
nodes_walk_residential,-0.055532178497703845
nodes_walk_log_sum_residential_units,-0.05482580703598725
zones_ln_empden_14,0.05028643471184596
nodes_walk_industrial,0.04636307533086752
stories,-0.045938766441209554
zones_ln_empden_8,0.044966970653911316
nodes_walk_ave_income,0.04437732293483792
building_type_id_is_83,-0.04222087339519101
building_type_id_is_32,0.040394874173145114
building_type_id_is_91,-0.03974285485096476
nodes_drv_log_sum_60min_jobs,-0.039142289912110044
b_ln_parcels_parcel_far,0.03763088045910179
building_type_id_is_84,-0.03665004982411343
