,theta
building_type_id_is_11,9.7405146564916
zones_logsum_job_high_income,0.796840812814847
zones_logsum_pop_high_income,-0.7924445941824164
bldg_empratio_13,0.1819105596032122
building_type_id_is_81,0.1815910972597813
building_type_id_is_84,0.1012583155550738
b_ln_non_residential_sqft,0.08849321605021719
building_type_id_is_82,0.08296758344893121
nodes_walk_sector13_jobs,0.07765921387249304
b_total_jobs,0.056973226943468305
building_type_id_is_83,0.04239460218407502
zones_population,0.029884204111510153
zones_households,-0.027543544498837336
parcels_total_sqft,0.023641788889532125
building_type_id_is_21,0.02351484732042185
nodes_walk_population,-0.02039651164299055
zones_ln_empden_13,0.020095120275637975
vacant_job_spaces,-0.01870227849837615
b_ln_land_area,0.018662126488279165
bldg_empratio_7,-0.01837265124675502
building_type_id_is_23,0.01750351397736736
nodes_drv_log_sum_60min_jobs,-0.015879658686805808
nodes_drv_log_sum_45min_jobs,0.014205559552177255
zones_transit_jobs_50min,0.013959356746729868
building_type_id_is_65,0.013880095215250287
nodes_drv_log_sum_20min_pop,0.013768997594939478
building_type_id_is_71,0.013656722074552536
nodes_walk_max_retail_far,0.013296698422898552
building_type_id_is_13,0.013282443093172515
nodes_walk_log_sum_nonresidential_units,-0.012163208679966167
building_type_id_is_14,0.012122511165439843
b_ln_building_sqft,-0.011373148985383559
building_type_id_is_33,0.011266706008494264
zones_ln_empden_11,-0.011114670441829731
building_type_id_is_63,0.010935843901329676
nodes_walk_sector7_jobs,-0.010752619159992314
building_type_id_is_41,0.010247509456391765
nodes_walk_ave_lot_sqft,-0.010173848331884382
building_type_id_is_51,0.010122519771596474
nodes_walk_sector17_jobs,-0.009522185537245398
nodes_walk_max_medical_far,-0.009318444757540888
nodes_walk_lowinc_hhs,0.009182949481326835
nodes_drv_log_sum_15min_retail_jobs,-0.008954761445582602
zones_ln_empden_17,-0.008791162253539085
bldg_empratio_18,-0.008432762853281421
zones_logsum_pop_low_income,-0.008201510219884623
zones_logsum_job_low_income,-0.008166130865734951
nodes_walk_ave_income,-0.007891846796276948
building_type_id_is_61,0.007746908359595171
bldg_empratio_3,-0.007289233275388675
zones_ln_empden_4,-0.006577113362438962
zones_ln_empden_2,0.006453930723780141
nodes_walk_sector14_jobs,0.00628624398691211
bldg_empratio_15,-0.0060251617809121945
nodes_walk_sector8_jobs,-0.005632638914858403
nodes_walk_sector5_jobs,-0.0052900791761597106
nodes_walk_retail_jobs,-0.0052900791761597106
b_is_pre_1945,0.005270585683477294
zones_ln_empden_10,-0.005103711639491095
stories,0.005054398085961017
zones_ln_empden_18,-0.004932899745854459
zones_ln_empden_16,0.004642205779791156
nodes_walk_industrial,0.004580848432304035
building_type_id_is_31,0.004482297141656807
nodes_walk_sector16_jobs,0.004425663448487583
popden,-0.0044002030069793
